model,environment,seed,activity,direct_precision,direct_recall,direct_f1,slot_precision,slot_recall,slot_f1,support,direct_mean_probability,slot_mean_probability
strict_lejepa,classroom,39,rotation,69.64285714285714,84.78260869565217,76.47058823529412,64.60176991150442,79.34782608695652,71.21951219512195,92,0.3133845627307892,0.3273284137248993
strict_lejepa,classroom,39,jump,61.261261261261254,86.07594936708861,71.57894736842105,60.17699115044248,86.07594936708861,70.83333333333334,79,0.3316454589366913,0.3305091857910156
strict_lejepa,classroom,39,wave,70.75471698113208,87.20930232558139,78.125,63.55140186915887,79.06976744186046,70.46632124352331,86,0.3180897831916809,0.31992417573928833
strict_lejepa,classroom,39,lie_down,75.53191489361703,77.17391304347827,76.34408602150538,72.94117647058823,67.3913043478261,70.05649717514125,92,0.2857207953929901,0.2738305330276489
strict_lejepa,classroom,39,pick_up,59.25925925925925,72.72727272727273,65.3061224489796,60.71428571428571,77.27272727272727,68.0,66,0.2605772614479065,0.2889120280742645
strict_lejepa,classroom,39,sit_down,51.75438596491229,76.62337662337663,61.78010471204188,54.86725663716814,80.51948051948052,65.26315789473685,77,0.35003694891929626,0.3521255850791931
strict_lejepa,classroom,39,stand_up,66.66666666666666,65.1685393258427,65.9090909090909,63.04347826086957,65.1685393258427,64.08839779005525,89,0.2804968059062958,0.3085692524909973
strict_lejepa,classroom,40,walk,97.6470588235294,87.36842105263159,92.22222222222223,97.40259740259741,78.94736842105263,87.20930232558139,95,0.27077826857566833,0.2741779685020447
strict_lejepa,classroom,40,rotation,64.8,88.04347826086956,74.65437788018433,62.39316239316239,79.34782608695652,69.85645933014354,92,0.3741547465324402,0.37675219774246216
strict_lejepa,classroom,40,jump,61.73913043478261,89.87341772151899,73.19587628865979,61.53846153846154,81.0126582278481,69.94535519125684,79,0.3495049774646759,0.35368064045906067
strict_lejepa,classroom,40,wave,73.19587628865979,82.55813953488372,77.59562841530054,68.81720430107528,74.4186046511628,71.50837988826815,86,0.32259345054626465,0.3296799063682556
